date,clones,unique_clones
2026-07-28,0,0
2026-07-29,0,0
2026-07-30,0,0
2026-07-31,0,0
2026-08-01,0,0
2026-08-02,0,0
2026-08-03,0,0
2026-08-04,0,0
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,1,1
2026-08-09,0,0
2026-08-10,0,0
2026-08-11,21,9
2026-08-12,0,0
2026-08-13,2,2
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,1,1
2026-08-18,2,1
2026-08-19,1,1
2026-08-20,0,0
2026-08-21,2,2
2026-08-22,7,1
2026-08-23,0,0
2026-08-24,4,4
2026-08-25,4,2
2026-08-26,0,0
2026-08-27,0,0
2026-08-28,0,0
2026-08-29,0,0
2026-08-30,1,1
2026-08-31,5,3
2026-09-01,4,2
2026-09-02,1,1
2026-09-03,1,1
2026-09-04,1,1
2026-09-05,0,0
